[2026-06-12T12:53:46.218Z] [INFO] | Source: infoLog: [Stability] Initializing stability systems
[2026-06-12T12:53:46.218Z] [INFO] | Source: infoLog: [SessionStability] Starting health monitoring
[2026-06-12T12:53:46.274Z] [INFO] | Source: infoLog: [Stability] Stability systems initialized
[2026-06-12T12:53:46.275Z] [INFO] | Source: infoLog: [AutoRecovery] Starting monitoring
[2026-06-12T12:53:46.275Z] [INFO] | Source: infoLog: Stability systems initialized successfully
[2026-06-12T12:53:46.276Z] [INFO] | Source: infoLog: [UpdateManager] Initializing Claude update manager
[2026-06-12T12:53:55.785Z] [INFO] | Source: infoLog: Claude update manager initialized
[2026-06-12T12:53:55.785Z] [INFO] | Source: infoLog: Extension activated with validated configuration | Context: {"version":"3.20.1","developmentMode":false}
[2026-06-12T12:54:05.045Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.045Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {}
[2026-06-12T12:54:05.046Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {}
[2026-06-12T12:54:05.046Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {}
[2026-06-12T12:54:05.046Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.047Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.047Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.047Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.047Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.048Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.048Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.048Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.048Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.049Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.049Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.049Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.049Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.050Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.050Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.050Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.050Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.051Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.051Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.051Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.051Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.052Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.052Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.052Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.052Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.053Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.053Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.053Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.053Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.053Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.054Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.054Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.054Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.054Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
[2026-06-12T12:54:05.055Z] [ERROR] | Source: errorLog: [SessionStability] Unhandled rejection | Context: {"name":"Canceled"}
